,Job_Title,Company,Location,First_Posted,Link,Job_Desc
0,Executive (Data Analyst) - (00BWB),National University of Singapore,Singapore,19h ago,https://www.jobstreet.com.sg/en/job/executive-data-analyst-00bwb-8169798?jobId=jobstreet-sg-job-8169798&sectionRank=1&token=0~a0dc3286-3f87-48b4-bfba-a600cb04b8e3&fr=SRP%20Job%20Listing,"Provide on-going support in terms of database-level extraction from existing school systems and platforms.Work with requestors to understand their needs and provide relevant insights through data interpretation and analysis to support the work of programme offices.Support decision-makers such as the Programme Directors and Vice Deans in statistical analysis reporting during key periods such as BOE, course allocation and module registration.Work with programme offices to ensure smooth system operations during key periods such as module registrations.Identify opportunities for use of advanced data analytics tools and techniques to increase work effectiveness and efficiency.Provide IT and data consultancy and present solutions to staff in programme offices for corporate or academic initiatives.Conduct or facilitate knowledge sharing of emerging technologies.Assist in any new technical initiatives and tasks assigned by supervisor.Recognised degree in computer science or related fields.Preferably with 1-2 years of relevant working experience in education institutions settings.Proficient in database language(s) and the use of Microsoft excel.Familiarity in enterprise systems such as PeopleSoft Campus solutions and SAP.Knowledge of R, Oracle DB, MySQL, Qlik Sense, QlikView, Tableau would be advantageous.Good team player, able to connect with people of all levels.Self-motivated with the ability to prioritise tasks and work independently.Strong analytical skills and meticulous over details."
1,Data Analyst,D L Resources Pte Ltd,Singapore,11h ago,https://www.jobstreet.com.sg/en/job/data-analyst-8154732?jobId=jobstreet-sg-job-8154732&sectionRank=2&token=0~a0dc3286-3f87-48b4-bfba-a600cb04b8e3&fr=SRP%20Job%20Listing,"Job Roles:Regular data mining, transformation, visualization, analytics and reporting worksCoordinate with various internal and external technology stakeholders across the different application domains, information security and infrastructure sectors to ensure smooth data-to-insights communication.Responsible for delivering, standardizing and automating data analytic reports, notifications and dashboards.Job Requirements:Degree in Computer Science, Engineering, Mathematics & Statistics or related discipline.At least 3 - 7 years’ prior data analytics/science experience, proficient in statistical tools such as Excel Macro and Data visualization tools such as Powerpoint and Sharepoint is a must.Proven ability to deliver data transformation, visualization and analytics in technology in the banking industryProven ability in standardizing and automating data analytic reports, notifications and dashboardsAdditional experience in data transformation and data visualization tools such as Tableau, Spotfire, Kibana, Qlikview is a strong plus.Additional experience in application support environment and understanding of ITIL methodology is a plusWe offer an attractive remuneration package. Please send your detailed resume via APPLY NOW or to:D L Resources Pte Ltd10 Anson Road #19-12 International Plaza Singapore 079903We regret that only short-listed candidates will be notified."
2,"Data Analyst, Infection Prevention & Epidemiology",Singapore General Hospital,Outram,11h ago,https://www.jobstreet.com.sg/en/job/data-analyst-infection-prevention-epidemiology-8153129?jobId=jobstreet-sg-job-8153129&sectionRank=3&token=0~a0dc3286-3f87-48b4-bfba-a600cb04b8e3&fr=SRP%20Job%20Listing,"The incumbent will identify, develop and provide key insights, management information and analytics for effective decision making and action in the Department of Infection Prevention and Epidemiology. Job duties include, but not limited to, the following:·         Manage data collection and extraction according to data definition and criteria·         Perform relational trending and forecasting based on historical information to establish meaningful analysis and in-depth understanding across both operational and clinical datasets.·         Design, develop, manage and maintain the department various databases·         Prepare statistical analysis for studies and research papers·         Provide Biostatistics training and statistical analysis support and advice to the stakeholders as and when requiredJob Requirements:·         Recognized degree in Biostatistics, Statistics, Mathematics, Information Technology, Engineering or related quantitative disciplines·         2-3 years of relevant working experience in the healthcare sector will be preferred.·         Proficient in Microsoft Office and SPSS. Knowledge of STATA / SAS will be an added advantage.·         Conversant in one of the following – R, Python·         Ability to work independently with minimal supervision as well as in a team·         Ability to achieve targets within set time frames"
3,"Data Analyst ( Entry Level / Junior Executive , MNC)",RecruitFirst Pte. Ltd,Central,1d ago,https://www.jobstreet.com.sg/en/job/data-analyst-entry-level-junior-executive-mnc-8168080?jobId=jobstreet-sg-job-8168080&sectionRank=4&token=0~a0dc3286-3f87-48b4-bfba-a600cb04b8e3&fr=SRP%20Job%20Listing,"Sourcing and validating raw data as well as doing data quality checksAnalysing company financial statements and identifying specific data pointsUpdating and processing data onto the database adhering to time sensitivityMaintaining and enhancing existing databaseApplying problem-solving skills to enhance processes and software Take ownership and be proactive with key areas of responsibilitiesRequirements:Bachelor or/and Master degree in Business, Finance, Accounting, Economics or equivalent work experiencePrior experience / strong knowledge and understanding of the financial marketsAbility to think critically and demonstrate examples of improving or developing processesStrong organization skills with ability to handle multiple projects simultaneously within tight deadlinesEffective project management skills and ability to prioritize tasks in a fast pace changing environmentExcellent written and verbal communication skills demonstrated in client facing environmentInterested, please send your resume (in word format) to [email protected]We regret to inform that only shortlisted candidates will be notified.Name/Reg No: Kwok Huen Wai/R1433611EA License: RecruitFirst: 13C6342"
4,Data Analyst Engineer,RecruitFirst Pte. Ltd,Central,12h ago,https://www.jobstreet.com.sg/en/job/data-analyst-engineer-8170444?jobId=jobstreet-sg-job-8170444&sectionRank=5&token=0~a0dc3286-3f87-48b4-bfba-a600cb04b8e3&fr=SRP%20Job%20Listing,"Location: CentralSalary: up to $5000Duties:Work with business users and data platform team for requirement gathering and process collaborationDevelop data processing pipelines for data modelling, analysis, and reporting from large and complex transaction datasetsBuild BI dashboards with Tableau and internal BI tools for data insights and business supportRequirement:Degree in Computer Science or related technical field2+ years of working experience in data analysis/data warehouse/mart development and BI reportingGood understanding of Python, SQL, HiveQL/SparkSQL and the relevant best practices/techniques for perf tuningWorking experience in building BI dashboards with Tableau and other BI toolsStrong analytical and technical skills in building batch/streaming data pipelines for big dataCan communicate in both English and Chinese for requirement gathering and analysisInterested applicants kindly email to [email protected] or https://api.whatsapp.com/send?phone=6590100921 with your resume to apply.Kindly indicate ""DataE”.All applicants will be treated with strictest confidentiality.We regret that only shortlisted candidates will be notified.Thank you.Toh Jun Xian (Consultant) | R1879771RecruitFirst Pte Ltd | E.A No.: 13C6342"
5,Regional Retail Data Analyst,Ninja Van,Central,23h ago,https://www.jobstreet.com.sg/en/job/regional-retail-data-analyst-8169192?jobId=jobstreet-sg-job-8169192&sectionRank=6&token=0~a0dc3286-3f87-48b4-bfba-a600cb04b8e3&fr=SRP%20Job%20Listing,"The Regional Retail Data Analyst’s role is to maintain a high, accurate and consistent level of visibility into PUDO’s performance across each of our markets. This will be done through writing/maintaining database queries (and presenting such information in a structured and concise manner) and coordinating with operating units to ensure data capture is consistent with realities on ground. The Regional Data Analyst would also be responsible for the efficiency of PUDO data extraction across the region and working with the Business Intelligence department to ensure that our databases are optimally structured to facilitate data analysisResponsibilitiesGenerate queries or dashboards summarizing business data for review by managers and other stakeholdersManage timely flow of business intelligence information to usersMaintain and update queries and dashboards, as well as update databasesProvide technical support for existing queries and dashboardsRequirements Bachelor in Science, Mathematics or Computer Science related fieldsNo experience required, however, any data analyst related experiences will be advantageousProficient in SQLPossesses critical analytical thinking skill"
6,"Trainee, CS Data Analyst #SGUnitedTraineeships #joinHealthineersASEAN",Siemens Healthcare Pte Ltd,North-East,1d ago,https://www.jobstreet.com.sg/en/job/trainee-cs-data-analyst-sgunitedtraineeships-joinhealthineersasean-8141299?jobId=jobstreet-sg-job-8141299&sectionRank=7&token=0~a0dc3286-3f87-48b4-bfba-a600cb04b8e3&fr=SRP%20Job%20Listing,"Do you want to contribute to the future of healthcare? As Siemens Healthineers values those who dedicate their energy and passion to this cause, our company’s name is dedicated to our employees. It’s their pioneering spirit, blended with our long history of engineering in the ever-evolving healthcare industry that truly makes us unique as an employer.We offer you a flexible and dynamic environment and the space to stretch beyond your comfort zone in order to grow both personally and professionally. Sound interesting?Then come in and join our global team as Trainee, CS Data Analyst to support, maintain, develop and implement data services for Customer Services.Your mission and responsibilities:• You deal with different data sources that are to be integrated into the solution• You support and develop dashboards and visualization to answer targeted business questions• You have tasks from reporting to perspective work with AI and machine learning tools for predictive analytics• You maintain and enhance the use of existing reports and dashboards to help optimize operationsTo find out more about the specific business, have a look at https://www.siemens-healthineers.com/services/customer-servicesYour qualifications and experiences:• Degree in computer science, data science or similar experience• Strategic understanding of data structures and foundation on statistics• Good skills and hands-on experience of programming and data visualization• Experience with data analytics as well as related systems and tools, e.g. SAS, R, SQL, Teradata, or similar data analytics workbenchesYour personality and skills:• You are a strong team player.• You are able to explain value behind data to non-experts• You are curious to discover new insights out of large amounts of data• You are able to communicate in English with a global and regional team• You are generally IT-savvy and able to solve day-to-day IT challengesBeing part of our team:Siemens Healthineers is a leading global medical technology company. More than 53,000 dedicated colleagues in over 70 countries are driven to shape the future of healthcare. An estimated 5 million patients across the globe benefit every day from our innovative technologies and services in the areas of diagnostic and therapeutic imaging, laboratory diagnostics and molecular medicine, as well as digital health and enterprise services.Your cultural fit:Our unique team spirit arises from embracing different perspectives, open debate, and the will to challenge conventions. Change is a constant aspect of our work. We aspire to lead the change in our industry rather than just react to it. That’s why we want you to seek, implement and celebrate your best ideas.Duration of Traineeship:12 MonthsEligibility Criteria for SGUnitedTraineeships:• Singapore Citizen or  Permanent Resident; and1. Graduated or graduating in calendar year 2019 or 2020 from ITEs, polytechnics, universities, or other educational institutions (e.g. private universities and overseas institutions); or2. Graduated earlier from above institutions and completed National Service in 2019 or 2020.**Above role is for a SG United Traineeship programme and PR is part of the eligibility criteria as required by WSG#SGUnitedTraineeships #joinHealthineersASEAN"
7,Data Analyst [CBD/Up to $4.5k/Tableau/Cognos/SQL] (ID: 504548),PERSOL Singapore (a division of Capita Pte Ltd),Central,20h ago,https://www.jobstreet.com.sg/en/job/data-analyst-[cbd-up-to-$4-5k-tableau-cognos-sql]-id:-504548-8169645?jobId=jobstreet-sg-job-8169645&sectionRank=8&token=0~a0dc3286-3f87-48b4-bfba-a600cb04b8e3&fr=SRP%20Job%20Listing,"Our client, a well-known Japanese company is currently looking for a Data Analyst position.Responsibilities:• Analyze the system demand and return forecast results and adjust the system forecast parameters in identifying the issues.• Enhance and develop system forecast logic algorithm, understanding the system forecast logic and management process • Respond to the forecast system user's inquiry as to the system forecast value background.• Supervise and support the junior analyst activities.• Support Line Manager to expedite the team’s strategy, direction, and target.Job Requirements:• Bachelor's Degree/ Diploma• Proficiency in Excel/VBP/Tableau/Cognos/SQL• Excellent analytical skillset• Strong problem-solving and Risk analysis skillset analyzing Company internal system data as well as the forecast system background data.• Ability to review complex information, perform comparative analysis, and make recommendations based on findings• Good coaching with excellent communication skills• Preferably minimum 2 years’ experience in the industry• Preferably with shipping / logistics job experienceFor interested applicant, kindly send your resume in Ms. Word format to [email protected]We regret that only shortlisted candidates will be notified.Capita Pte Ltd | EA License No. 08C2893  |  RCB No. 200701282M Joanne (Chin Hui Teng) | EA Registration No.: R1984028"
8,Data Analyst,Pan-United Corporation Ltd,East - Others,11h ago,https://www.jobstreet.com.sg/en/job/data-analyst-8153451?jobId=jobstreet-sg-job-8153451&sectionRank=9&token=0~a0dc3286-3f87-48b4-bfba-a600cb04b8e3&fr=SRP%20Job%20Listing,"Opportunity to work in an Asian MNC with a presence in Singapore, Malaysia, Vietnam and IndonesiaConcrete and technology innovation is the core of what we doPassionate, energetic and innovative work cultureResponsibilities:Analyze raw data: assessing quality, cleansing, structuring for downstream processingDesign accurate and scalable prediction algorithmsCreate predictive, prescriptive and/or explanatory modelsGenerate actionable insights for business improvementsResearch and understand the latest technologies to define new process improvement opportunitiesRequirements:Bachelor's degree in Computer Science/ Information Technology or equivalent Deep understanding of predictive modeling, machine-learning, clustering and classification techniques, and algorithmsProficient in a programming language (Python, Java, SQL)Strong analytical skills with the ability to collect, organize, analyze, and disseminate significant amounts of information with attention to detail and accuracyAdept at queries, report writing and presenting findingsAdditional experience in data visualization and/or knowledge of reinforcement learning is a plus"
9,Data Analyst // Min Degree,RecruitFirst Pte. Ltd,Central,1d ago,https://www.jobstreet.com.sg/en/job/data-analyst-min-degree-8168059?jobId=jobstreet-sg-job-8168059&sectionRank=10&token=0~a0dc3286-3f87-48b4-bfba-a600cb04b8e3&fr=SRP%20Job%20Listing,"1) Career Growth2) Excellent MNCResponsibilitiesSourcing and validating raw data as well as doing data quality checksAnalysing company financial statements and identifying specific data pointsUpdating and processing data onto the database adhering to time sensitivityMaintaining and enhancing existing databaseApplying problem-solving skills to enhance processes and softwareTake ownership and be proactive with key areas of responsibilitiesRequirementsBachelor or/and Master degree in Business, Finance, Accounting, Economics or equivalent work experiencePrior experience / strong knowledge and understanding of the financial marketsAbility to think critically and demonstrate examples of improving or developing processesStrong organization skills with ability to handle multiple projects simultaneously within tight deadlinesEffective project management skills and ability to prioritize tasks in a fast pace changing environmentPractical experience in interpreting financial statements and strong knowledge/understanding of finance and accountingHave passed CFA level 1 or working towards the qualificationInterested applicants, please send your resumeEmail: [email protected]Whatapps: 84084105 (https://wa.me/6584084105)Telegram: @SGJOB4_UFor more jobs please join us on Telegram:Telegram: https://t.me/sgjob4u or Search @SGJOB4U on Telegram!Regret to inform only shortlisted candidates will be notified.Thank you!Elise Wong (R1872890)RecruitFirst Pte Ltd (13C6342)"
