,Job_Title,Company,Location,First_Posted,Link,Job_Desc
0,Senior Data Scientist,Centre for Strategic Infocomm Technologies (CSIT),West,11h ago,https://www.jobstreet.com.sg/en/job/senior-data-scientist-8137483?jobId=jobstreet-sg-job-8137483&sectionRank=26&token=0~3a6596d9-c833-45e7-8b71-d366807ce45d&fr=SRP%20Job%20Listing,"CSIT develops products to advance the national security interests of Singapore. Our products are used in a wide range of operations, including but not limited to, Counter-terrorism and Computer Network Defence. We are looking for talented data scientists to build mission critical data-driven products that identify, analyse and disrupt threats.RoleYou will be part of a dynamic team of data specialists responsible for tackling the most complex problems in national security through the use of machine learning and data analytics. You will work with a variety of rich multimodal datasets and high velocity data streams to develop and implement algorithms that drive key business decisions. Our ideal team member will have strong quantitative and computational skills, but will not shy from writing high-quality, extensible and maintainable code.ResponsibilitiesApply statistical and machine learning techniques on large-scale datasets to verifiably address a variety of business needsMentor junior team members on machine learning and best practicesIdentify high-impact opportunities for applying machine learning and data analytics to solve key business issuesCollaborate closely with business users to extract actionable insights from data and develop data-driven solutions to meet their needsKeep current with developments in academia and industryRequirementsMinimum requirementsAn advanced degree in a quantitative field (e.g. Computer Science, Economics, Mathematics, Physics etc.) or equivalent practical experienceExperience in applying machine learning techniques (such as classification, anomaly detection and recommendation systems) on non-trivial datasetsDeep understanding of a particular domain (e.g. natural language processing or recommendation systems) with working knowledge of a broader range of machine learning and data mining conceptsNice-to-havesKnowledge of big data and streaming technologies such as Hadoop, Spark and Kafka would be an added advantageExperience in leading and managing data science teamsStrong written and verbal communication skillsAs CSIT is an agency under the Ministry of Defence (Singapore), only Singapore Citizens will be considered."
1,Senior Data Scientist,Tangspac Consulting Pte Ltd,Central,20h ago,https://www.jobstreet.com.sg/en/job/senior-data-scientist-8169596?jobId=jobstreet-sg-job-8169596&sectionRank=35&token=0~45a25bc1-ecf9-4a6b-b1b1-a85635cc4541&fr=SRP%20Job%20Listing,"My client is a leading global bank and they are looking for a Senior Data Scientist to join their databox team to solve exciting business problems.Job Description:Build and train ML models on large-scale datasets to solve various business use casesUse data processing frameworks for feature engineering and be proficient across various data both structured and un-structured.Use Deep Learning models like Regression, classification, clustering, CNN, RNN and NLP (BERT) for solving various business use cases like name entity resolution, forecasting and anomaly detection.Collaborate to develop large-scale data modelling experiments, evaluating against strong baselines, and extracting key statistical insights and/or cause and effect relations.Experience across broad range of modern data science and analytics tools (e.g., R, SQL, STATA, NoSQL, Hive, Hadoop, Spark, Python);Proficiency in visualization tools including Tableau, Cognos, Power BI, and similar tools required;Ability to work in large and medium sized project teams, as self-directed contributor with a proven track record of being detail orientated, innovative, creative, and strategic, and;Ability to convey complex information in an understandable, compelling, and persuasive manner at all levels.Execute sound data curation, wrangling, and associated correlation processes;Synthesize analytical findings for consumption by the teams and senior executivesArticulate analytical findings in clear and concise deliverables, including presentations, discussions, and visualizations.Requirements:Advanced Degree in field of Computer Science, Data Science or equivalent discipline.Minimum 5+ years of working experience as a data scientistExpertise with Python, PySpark, DL frameworks like MLOps.Experience in designing and building highly scalable distributed Machine Learning models in production (Scala, applied machine learning, proficient in statistical methods, algorithms)Experience with analytics (ex: Tableau, SQL, Alteryx Presto, Spark, Python)Experience with machine learning techniques and advanced analytics (e.g. regression, classification, clustering, time series, econometrics, causal inference, mathematical optimization)Experience building models and solve models with TIN Machine LearningStrong curiosity for data and a proven track record of successfully applying rigorous scientific methods with proficiency in Machine Learning.Strong knowledge in NLP, Deep Learning, Knowledge Graphs and experience working with massive amount of DataOthers:6 months contract, renewableLcoation: CBDInterested candidates please hit APPLY NOW with your updated CV and we will get in touch with you for a confidential discussion.We regret that only shortlisted candidates will be contacted.[email protected]EA License No: 07C3635 | Registration No: R1982019"
2,#SGUnitedTraineeships - Data Scientist,Ng Teng Fong General Hospital,West,2d ago,https://www.jobstreet.com.sg/en/job/sgunitedtraineeships-data-scientist-8150978?jobId=jobstreet-sg-job-8150978&sectionRank=41&token=0~45a25bc1-ecf9-4a6b-b1b1-a85635cc4541&fr=SRP%20Job%20Listing,"This position reports to the Senior Manager and will support management on decision making by processing and analysing organisational and healthcare data.Specific Responsibilities:1. Process requests for clinical data, dashboard and analysis based on the requestors’ requirements.2. Perform data management and data analysis for programme evaluation, clinical analytics and quality improvement projects.3. Devise and execute appropriate statistical study design plans.4. Develop indicators and dashboards to support decision making and improvementCompetencies trainee will learn during SGUnited Traineeship Programme:1. Apply the   expertise in data visualisation, quantitative analysis and presentation of   data to drive insights that value-add to management decision making (such as   hypothesis testing, Data Validation and use cases, development of analytics   products)2. Partner with clinicians, healthcare professionals and IT to deliver visualisation   and analytics solutions to solve the business problem3. Perform data management, data visualisation, statistical studies and analysis for clinical analytics and quality improvement projects.Qualifications:1. Good Postgraduate or Bachelor’s Degree in Applied Mathematics,   Biostatistics, Statistics or Data Analytics2. Proficient with Microsoft Word and Excel3. Proficient in R, STATA, SPSS, Modeler, Tableau and/or other analytics   tools4. Excellent communication and interpersonal skills, able to work with diverse group of stakeholdersDuration of Traineeship Offered: 9 MonthsEligibility Criteria for SGUnitedTraineeships: Singapore Citizen or Permanent Resident; anda) Graduated or graduating in calendar year 2019 or 2020 from ITEs, polytechnics, universities, or other educational institutions (e.g. private universities and overseas institutions); orb) Graduated earlier from above institutions and completed National Service in 2019 or 2020.Above role is for a SG United Traineeship programme and PR is part of the eligibility criteria as required by WSG."
3,Data Scientist - (00BP6),National University of Singapore,Singapore,1d ago,https://www.jobstreet.com.sg/en/job/data-scientist-00bp6-8152737?jobId=jobstreet-sg-job-8152737&sectionRank=44&token=0~45a25bc1-ecf9-4a6b-b1b1-a85635cc4541&fr=SRP%20Job%20Listing,"To assist the Director with the collection, analysis, visualisation of research and education data and presentation of analytical results for regular and ad-hoc reporting purposes to meet multiple information requirements of the various stakeholders of the university.The successful candidate will assist the Director of Research and Education Analytics with the following activities: -Research, collect, analyse and report on key indicators, for both regular and ad-hoc reporting purposes.Program and develop depositories and system for accessing regular reports by key stakeholders.Develop visualizations and presentations for dissemination of analytical results and derivation of actionable insight.Create detailed reports on data sources, methodology, analytical techniques, analytical results and insights for stakeholders.Successful candidate will have the following qualifications and capabilities: -PhD or Master in operations research, applied statistics, data mining or a related quantitative discipline.Strong analytical skills, highly proficient in statistical and predictive modelling techniques, clustering and classification techniques, and optimization methods.Experience in query databases from different sources and perform quantitative modelling and statistical analysis.Experience in developing or programming databases.Some understanding of the higher education sector and the needs of related key stakeholders in the university.Proficient in Excel.Ability to work autonomously.At least 3 years of similar experience.Successful candidate will have the following qualifications and capabilities: -PhD or Master in operations research, applied statistics, data mining or a related quantitative discipline.Strong analytical skills, highly proficient in statistical and predictive modelling techniques, clustering and classification techniques, and optimization methods.Experience in query databases from different sources and perform quantitative modelling and statistical analysis.Experience in developing or programming databases.Some understanding of the higher education sector and the needs of related key stakeholders in the university.Proficient in Excel.Ability to work autonomously.At least 3 years of similar experience."
4,"Data Scientist (Up to 10k, Central)",Mason & Co Pte Ltd,Orchard,1d ago,https://www.jobstreet.com.sg/en/job/data-scientist-up-to-10k-central-8167365?jobId=jobstreet-sg-job-8167365&sectionRank=47&token=0~45a25bc1-ecf9-4a6b-b1b1-a85635cc4541&fr=SRP%20Job%20Listing,"RESPONSIBILITIES:• Work with stakeholders(internal/external) throughout the organization to identify opportunities for leveraging company data to drive business solutions• Responsible for identifying an issue, and conceptualize and test various statistical models with measurement of modelling performance with continuous improvement activities• Assess the effectiveness and accuracy of new data sources and data gathering techniques• Develop processes and tools to monitor and analyse model performance and data accuracy• Coordinate with different functional teams to implement models and monitor outcomesREQUIREMENTS:• Master degree (Statistics, Analytics, or Applied Mathematics are preferred)• Minimum of 4 years’ statistical modelling experience• Minimum of 4 years’ experience with at least one of the following statistical tools/languages (R, S-plus, SAS, STATA, Python)• Domain knowledge in IT, Retail, Manufacturing, Finance, Retail, Healthcare would be advantageous• Experience in simulation and optimization analysisPREFERRED SKILLS:• Proven background in at least one of the following – Supervised and Unsupervised Learning, Classification Models, Cluster Analysis, Neural Networks, Non-parametric Methods, Multivariate Statistics, Reliability Models, Markov Models, Stochastic models, Bayesian Models• Experience in various statistical and machine learning models, data mining, unstructured data analytics in corporate or academic research environments• Retail and CPG experience is preferred• Experience leading or collaborating with a team of data scientists in developing and delivering machine learning models that work in a production setting• Experience working with large data sets and tools like MapReduce, Hadoop, Hive, etc.• Experience working with large data streaming technologies like Spark, Flink, etc.• Familiarity with relational databases and intermediate level knowledge of SQL• Ability to think creatively to solve real world business problems• Ability to work in a global collaborative team environment• Proficient verbal and written communication skills in EnglishFor interested parties, kindly send in your resume with photo in MS Word format to [email protected]We regret that only shortlisted candidates will be notified.Mason & Co Pte Ltd"
5,Senior Data Scientist (Contract),National University Health System,Singapore,1d ago,https://www.jobstreet.com.sg/en/job/senior-data-scientist-contract-8141547?jobId=jobstreet-sg-job-8141547&sectionRank=49&token=0~45a25bc1-ecf9-4a6b-b1b1-a85635cc4541&fr=SRP%20Job%20Listing,"NUHS Academic Informatics Office (AIO)- Biomedical InformaticsJob Responsibilities:As a Senior Data Scientist in the Biomedical Informatics Office, you will focus on activities relating to machine learning and AI deployment. We are looking for individuals who are passionate about improving healthcare and saving lives with the use of technology. You are responsible for the following areas:Research and development of machine learning models in various clinical areas such as medical image, clinical notes and patients’ data.Research and development of neural network models to analyze free text and identifying, categorizing opinions expressed in a piece of text.Work with the team to design and architect the workflow of the data and algorithms including data input, output and storage between various health IT systems.Work with the team to develop and deploy necessary AI models for in-house chatbot framework in hybrid cloud environment.Optimize data analysis processes and systems for better efficiency and maintenance.Documentation and provide clear explanation of how algorithms have been implemented, verified and validated.Lead the data science team to deliver AI related research and development requirement to meet the business need.Job Requirements:PhD in Bioinformatics, Statistics, Computer Science or related fields with strong statistical modelling and machine learning skills (Master’s degree candidate with related working experience may be considered).Hands-on experience and independent in development of end-to-end data analytics solutions including data exploration/crawling, model building and performance evaluation.Experience in leading teams in research and development.Proficient with programming in Python and AI related frameworks.Knowledge in machine learning platform and services from cloud providers such as AWS, GCP, Azure.Knowledge in big data technologies including cloud computing/distributed computing is plus.Excellent written and verbal communication skills, including the ability to communicate technically and non-technically with ability to translate between the two.Strong interpersonal, problem-solving and multi-tasking skills.Candidates with working experience in healthcare domain, or in clinical setting, with ability to understand basic clinical terms and jargons are advantageous."
6,"VP / AVP, Senior Data Scientist, Institutional Banking Group - (WD16867)",DBS Bank Limited,Singapore,1d ago,https://www.jobstreet.com.sg/en/job/vp-avp-senior-data-scientist-institutional-banking-group-wd16867-8167472?jobId=jobstreet-sg-job-8167472&sectionRank=50&token=0~45a25bc1-ecf9-4a6b-b1b1-a85635cc4541&fr=SRP%20Job%20Listing,"Business FunctionThe Institutional Banking Group's (IBG) Data Centre of Excellence (Data CoE) is committed to building a data driven organization and maximising the key data capabilities to transform how IBG does business. Data impacts IBG's businesses every day, and a culture of relentlessly using data and business intelligence will enable IBG to achieve exponential growth.ResponsibilitiesThe senior data scientist will have opportunities to work on varieties of problems across sales and marketing, customer management, revenue optimization, risk management, and many more other areas.The senior data scientist will assist the leadership in both analysing and formulating the business problems as well as identifying and developing the analytics solution.Work with business and technology to develop end-to-end advanced analytics solutions - from problem formulation, data sourcing, solution development and productionalizationWork with technology to monitor and improve the existing analytical solutions and reusable assetsWork with analytics community to continue developing advanced analytics capabilities, driving adoption of best-in-class techniques and practicesRequirementsPhD or Master's degree in Computer Science, Statistics, Applied Mathematics, Operation Research, or equivalent quantitative fields preferred. Familiarity with a wide range of statistical analysis, machine learning, natural language processing and deep learning techniques.5 to 10 years of experience in industry (ideally banking, ecommerce, telecoms, retail, and consulting) with demonstrated track record of leveraging advanced analytics to achieve business impact.At least 5 years of experience in data mining and machine learning on large amount of data, building and implementing various analytical models.Familiar with industry paradigms and standards for model development, validation and testing and have developed and implemented large-scaled industrial standard machine learning solutions from end to end.Familiar with tools such as Anaconda, Jupyter, PyCharm, Jira, Git, Jenkins.Demonstrated proficiency in Python (Pandas, SciPy, NumPy, PySpark, TensorFlow, etc), Java Script, SQL, and Linux shell Script.Experience with full data analytics platform stack (Hadoop, Hive, HBase, Spark, Flink, Presto, Superset, Flux, Alluxio, Airflow, Workbench, AWS, Job Server, etc), and structured (SQL) and unstructured databases (Graph Database, NoSQL).Strong in problem-solving, being resourceful with end to end critical thinking to find out solutions even in unfamiliar scenarios.Good communication and project management skills.Apply NowWe offer a competitive salary and benefits package and the professional advantages of a dynamic environment that supports your development and recognises your achievements."
7,Data Scientist,Singapore Pools (Private) Limited,Central,4d ago,https://www.jobstreet.com.sg/en/job/data-scientist-8137453?jobId=jobstreet-sg-job-8137453&sectionRank=55&token=0~45a25bc1-ecf9-4a6b-b1b1-a85635cc4541&fr=SRP%20Job%20Listing,"We are looking for a passionate and professional Data Scientist to join our team to help us with our mission of helping us define and analyze the data across the company.Based in Singapore and reporting into the Director, Strategy & Analytics, the Data Scientist will work on team projects and individual projects. The right candidate will have day-to-day responsibility of ensuring accuracy of data for business decisions.However, we also recognize that each Data Scientist has a unique blend of skills. Whether your strength is in data modeling or in analytical, we want to talk to you.What You’ll DoYou will identify, undertake, and implement analytics projects including formulation of use cases, gathering of data, development, implementation and maintenance of models.You will be instrumental in supporting the development of Singapore Pools’ in-house analytic capabilities through the implementation of structured methodologies and creation of infrastructural capabilities to process and analyze data.You will work with strategy to identify opportunities to enable the implementation and realization of the long-term strategic vision of Singapore Pools.Who You AreYou will need to be a graduate or undergraduate degree in Mathematics, Statistics or Data Science.You will need to have relevant work experience though it is not necessary but would be an advantage.You will have working knowledge of Python/R, Pyspark, SQL and Big Data technologies.You should be proficient in various statistical methods used in data sciences.You should have the ability to communicate complex ideas to technical and non-technical audiences.You should be familiar with machine learning techniques in CNN and RNN.BenefitsCompetitive salariesFlexi BenefitsStaggered working hoursMedical InsuranceCorporate Mobile PlansSingapore Pools welcomes you not for how you look, where you come from, or differences you may have. We want you here for who you are. Diversity at the company helps us see a greater picture represented by different voices, helping us in contributing back to the society. So, feel free to express who you are, and be proud of your heritage and personal experience as you begin your journey with us!Singapore Pools was established by the Government on 23 May 1968 to provide safe and trusted betting to counter illegal gambling. As a not-for-profit organisation, all of Singapore Pools’ surplus is channeled to Tote Board to fund a wide range of causes in social service, community development, sports, the arts, education and health. Currently, Singapore Pools contributes about $2 billion annually to the Government in the form of taxes and duties, and for the funding of good causes.If you are interested, please apply thru jobstreet."
8,Data Scientist – Signal Processing,Manpower Staffing Services (S) Pte Ltd - IT Permanent,Singapore,2d ago,https://www.jobstreet.com.sg/en/job/data-scientist-signal-processing-8149855?jobId=jobstreet-sg-job-8149855&sectionRank=75&token=0~050e1123-f047-4207-8a11-1bbebaaabb5a&fr=SRP%20Job%20Listing,"If you have the passion to use data from biosensors and advanced machine learning techniques for making sense of biosensor data, look no further!Our client is a rising MedTech startup is looking for smart and capable Data Scientist to join their exciting Data Science team in Singapore.In this role, you will be responsible for:Design, characterize and test algorithms to analyze physiological dataCollect, analyze and draw insights from real world healthcare data from biosensorsPerform comprehensive evaluation of new concepts using bench, preclinical and clinical data collection and analysisMine existing biomedical signal and healthcare datasets to guide algorithm design and optimizationDraft and apply paper publicationsEdit or review task related research documentationsThe ResponsibilitiesMaster or PhD in Electronic Engineering, Computer Science, Biomedical Engineering or related field with good signal processing skillsHand on experience with signal processing project development such as noise detection, pre-processing, feature engineering, machine learning model building and performance evaluationExperience working with ECG, PPG and other biomedical/healthcare dataGood in spectrum analysis, pattern recognition, supervised learning, hypothesis testingGood research ability and critical thinking skillsProficient programming in Python, C/C++Good communicatorWhat’s next?If you are qualified and interested in applying for the position, please kindly send your CV in to Paula Dam at [email protected] / Click Apply or call 65 6232 8832EA License No.:02C3423EA Registration No.: R1109289"
9,"Data Engineer/Data Scientist, Digital Transformation & Data Science",Singapore Tourism Board,Singapore,3d ago,https://www.jobstreet.com.sg/en/job/data-engineer-data-scientist-digital-transformation-data-science-8164783?jobId=jobstreet-sg-job-8164783&sectionRank=87&token=0~050e1123-f047-4207-8a11-1bbebaaabb5a&fr=SRP%20Job%20Listing,"Data Engineer/Data Scientist, Digital Transformation & Data SciencePurpose of job:Support the Data Science team in:Ensuring optimised data collection and data flowHelping project manage and coordinate DT's data ingestion and data processing pipelines across platformsEnsuring that all data systems meet our business requirements and allow scalabilityMain Responsibilities:Collaborate with the data science team to create data tools to assist the team in building and optimising our data-related initiativesHelp setup, configure, deploy and validate machine learning models and analytics scripts on Amazon SagemakerDevelop data integrations (through API, SFTP etc) between AWS S3, Redshift instances and on-premise database instances (e.g. HANA)Work closely with team to identify, define, ingest and process data from multiple sources in support of model developmentAnalyse and assess the effectiveness and accuracy of new data sources (e.g. datasets received from stakeholders) and annotation/ labelling of new training inputs.Assemble large, complex datasets that meet functional and non-functional business requirementsIdentify, design and implement internal process improvements: automating manual processes, optimising data delivery, re-designing infrastructure for greater scalability, etc.Work closely with vendors and internal stakeholders to project manage and coordinate DT’s data ingestion and data processing pipelines across platforms which can include mobile apps, SaaS platforms, on-premise databases and partner systemsSupport the integration and deployment of developed algorithms, machine learning and analytical models into current analytics system / productionDevelop monitoring toolkits to ensure that integration is executed successfully and alerts where integrations have failedHelp architect DT’s data integrations and data processing flows between external / 3rd party data sources, AWS cloud datawarehouses (e.g. Redshift) and internal on-premise database instances for workloads at scaleProvide guidance to internal teams on best practices for cloud to on-premise data integrationsDevelop set processes for data mining, data modelling and data productionRecommend different ways to constantly improve data reliability and quality, including helping review and enhance the existing data collection procedures to include data for building analytics models relevant for industry transformationRequirements:At least 5 years of experience in a related field with real-world skills and testimonials from formal employers.Working experience for structured and unstructured datasets is essentialExperience with big data tools: Hadoop, Spark, Hive, Sqoop, etc.Experience with relational SQL and noSQL databases, including Postgres and Cassandra.Experience with AWS cloud services: EC2, S3, EMR, Redshift, RDS, Lambda functions.Experience with AWS Sagemaker.Experience with stream-processing systems: Storm, Spark-Streaming, etc.Experience with data pipeline and workflow management tools.Experience with object-oriented / object function scripting languages: Python, R, Java, etc.Experience building and optimising ‘big data’ data pipelines, architectures and databasesExperience in performing root cause analysis on internal and external data and processes to answer specific business questions and identify opportunities for improvement.Strong analytics skills related to working with structured and unstructured datasets.Build processes supporting data transformation, data structures, metadata, dependency and workload management.Intellectual curiosity to find new and unusual ways of how to solve data management issues.A successful history of manipulating, processing and extracting value from large disconnected datasetsExperience in using Qliksense will be advantageousExperienced data pipeline builder and data wrangler who enjoys optimising data systems and building them from ground up.Strong project management and organisational skills.Experience supporting and working with cross-functional teams in a dynamic environmentsCertified Scrum Master/ Agile DeveloperCertified AWS Cloud ArchitectWe regret to inform that only shortlisted candidates will be notified."
